,Country,NumericValue,Low,High,Year
140,CRI,0.0,,,2018
141,DJI,43.0,21.0,65.0,2018
142,DOM,1.0,,,2018
143,DZA,0.0,,,2018
144,ECU,0.0,,,2018
145,EMR,11137.0,6300.0,18700.0,2018
146,ERI,196.0,79.0,360.0,2018
147,ETH,6500.0,2330.0,12800.0,2018
148,EUR,0.0,,,2018
149,GAB,387.0,330.0,470.0,2018
150,GEO,0.0,,,2018
151,GHA,12227.0,11600.0,13000.0,2018
152,GIN,8500.0,7590.0,9630.0,2018
153,GLOBAL,566857.0,532000.0,642000.0,2018
154,GMB,596.0,570.0,630.0,2018
155,GNB,880.0,760.0,1060.0,2018
156,GNQ,724.0,590.0,940.0,2018
157,GTM,1.0,0.0,2.0,2018
158,GUY,39.0,18.0,67.0,2018
159,HND,0.0,,,2018
160,HTI,40.0,16.0,75.0,2018
161,IDN,1142.0,570.0,1730.0,2018
162,IND,9630.0,4430.0,16800.0,2018
163,IRN,0.0,,,2018
164,IRQ,0.0,,,2018
165,KAZ,0.0,,,2018
166,KEN,11218.0,10500.0,12200.0,2018
167,KGZ,0.0,,,2018
168,KHM,265.0,140.0,400.0,2018
169,KOR,0.0,,,2018
170,LAO,23.0,10.0,41.0,2018
171,LBR,3419.0,2960.0,4030.0,2018
172,LKA,0.0,,,2018
173,MAR,0.0,,,2018
174,MDG,4750.0,1960.0,8550.0,2018
175,MEX,0.0,,,2018
176,MLI,18423.0,15500.0,21800.0,2018
177,MMR,164.0,79.0,270.0,2018
178,MOZ,19200.0,14900.0,25900.0,2018
179,MRT,1085.0,930.0,1380.0,2018
180,MWI,7021.0,6280.0,7990.0,2018
181,MYS,0.0,,,2018
182,MYT,0.0,0.0,0.0,2018
183,NAM,128.0,56.0,220.0,2018
184,NER,22047.0,15400.0,32200.0,2018
185,NGA,186940.0,156000.0,231000.0,2018
186,NIC,3.0,,,2018
187,NPL,1.0,0.0,2.0,2018
188,OMN,0.0,,,2018
189,PAK,511.0,250.0,860.0,2018
190,PAN,0.0,,,2018
191,PER,48.0,24.0,75.0,2018
192,PHL,25.0,10.0,46.0,2018
193,PNG,2571.0,1070.0,4710.0,2018
194,PRK,0.0,,,2018
195,PRY,0.0,,,2018
196,RWA,3093.0,2940.0,3310.0,2018
197,SAU,0.0,,,2018
198,SDN,5882.0,1930.0,12800.0,2018
199,SEAR,10978.0,6000.0,18000.0,2018
200,SEN,4192.0,4040.0,4390.0,2018
201,SLB,109.0,55.0,170.0,2018
202,SLE,7408.0,6550.0,8370.0,2018
203,SLV,0.0,,,2018
204,SOM,2198.0,880.0,4100.0,2018
205,SSD,6869.0,4400.0,11000.0,2018
206,STP,0.0,,,2018
207,SUR,0.0,,,2018
208,SWZ,1.0,0.0,2.0,2018
209,SYR,0.0,,,2018
210,TCD,11502.0,9750.0,13800.0,2018
211,TGO,3667.0,3240.0,4180.0,2018
