,Disease,Herb
0,Encephalitis,Radix Isatidis seu Baphicacanthi
1,Encephalitis,Dryopteris filix- mas
2,Encephalitis,Folium Isatidis
3,Encephalitis,Fructus Forsythiae
4,Encephalitis,Alternanthera philoxeroides
5,Encephalitis,Indigofera tinctoria
6,Encephalitis,Bulbus Allii
7,Encephalitis,Herba Alternantherae
8,Encephalitis,Pinus massoniana
9,Encephalitis,Osmunda japonica
10,Chronic pain,Kadsura heteroclita [Syn. Uvaria heteroclita]
11,Enteritis,Ficus beecheyana [Syn. Ficus erecta var. beecheyana]
12,Enteritis,Mosla scabra [Syn. Mosla punctata]
13,Enteritis,Bauhinia variegata
14,Enteritis,Berberis amurensis
15,Enteritis,Tadehagi triquetrum
16,Enteritis,Ampelopsis brevipedunculata var. hancei
17,Enteritis,Senecio nemorensis
18,Enteritis,Helicteres angustifolia
19,Enteritis,Delphinium kamaonense var. glabrescens
20,Enteritis,Kadsura coccinea
21,Enteritis,Aconitum tanguticum
22,Enteritis,Spilanthes acmella
23,Enteritis,Aristolochia versicolar
24,Enteritis,Aconitum sinomontanum
25,Enteritis,Isodon ternifolia
26,Enteritis,Elaeagnus angustifolia
27,Enteritis,Picrasma quassioides [Syn. Picrasma ailanthoides]
28,Enteritis,Herba Aristolochiae;Fibraurea recisa Pierre
29,Enteritis,Euphorbia hirta
30,Enteritis,Silene fortunei
31,Enteritis,Tithonia diversifolia
32,Enteritis,Przewalskia tangutica
33,Enteritis,Rosa roxburghii
34,Enteritis,Aristolochia tubiflora
35,Enteritis,Achillea alpina [Syn. Achillea sibirica ]
36,Enteritis,Euchresta strigillosa
37,Enteritis,Rumex crispus
38,Enteritis,Rubus alceaefolius
39,Enteritis,Eupatorium japonicum
40,Enteritis,Phyllanthus emblica
41,Enteritis,Herba Corydalis bungeae
42,Enteritis,Medicago sativa
43,Enteritis,Stephania dielsiana
44,Enteritis,Stephania succifera
45,Enteritis,Rodgersia pinnata
46,Enteritis,Microlepia strigosa [Syn. Trichomanes strigosa ]
47,Enteritis,Securidaca inappendiculata
48,Enteritis,Sophora alopecuroides
49,Enteritis,Ixeris sonchifolia
50,Enteritis,Herba Hedyotis Diffusae
51,Enteritis,Tacca plantaginea [Syn. Schizocapsa plantaginea]
52,Enteritis,Nauclea officinalis
53,Enteritis,Ixeris chinensis
54,Enteritis,Cephalanthus occidentalis
55,Enteritis,Clinopodium chinense
56,Enteritis,Halenia corniculata
57,Enteritis,Clerodendron cyrtophyllum
58,Enteritis,Meconopsis nepaulensis
59,Enteritis,Mimosa pudica
60,Enteritis,Glochidion eriocarpum
61,Enteritis,Adina pilulifera [Syn. Cephalanthus pilulifera ]
62,Enteritis,Asplenium prolongatum
63,Enteritis,Populus canadensis
64,Enteritis,Helicia nilagirica
65,Enteritis,Erigeron annuus
66,Enteritis,Tetracera asiatica
67,Enteritis,Radix Sophorae Tonkinensis
68,Enteritis,Senecio scandens [Syn. Senecio chinensis]
69,Enteritis,Polygonum hydropiper
70,Enteritis,Hypericum sampsonii
71,Enteritis,Potentilla viscosa
72,Enteritis,Lindera angustifolia
73,Enteritis,Herba Sophorae Alopecuroidis
74,Enteritis,Anisodus luridus
75,Enteritis,Ulva lactuca
76,Enteritis,Anisodus tanguticus [Syn. Scopolia tangutica ]
77,Enteritis,Tacca chantrieri
78,Enteritis,Hemsleya amabilis
79,Enteritis,Phyllanthus urinaria
80,Enteritis,Folium Isatidis
81,Enteritis,Herba Portulacae
82,Enteritis,Stenoloma chusanum
83,Enteritis,Hedyotis auricularia
84,Enteritis,Helicteres isora
85,Enteritis,Herba Euphorbiae humifusae
86,Enteritis,Emilia sonchifolia
87,Enteritis,Conyza canadensis
88,Enteritis,Phyllanthus reticulatus
89,Enteritis,
90,Enteritis,Pleuropterus ciliinervis
91,Enteritis,Hippophae rhamnoides
92,Abdominal Pain,Rudbeckia laciniata
93,Abdominal Pain,Rhododendron capitatum
94,Abdominal Pain,Iris sanguinea
95,Abdominal Pain,Panax pseudo - ginseng var. japonicus
96,Abdominal Pain,Ficus pumila
97,Abdominal Pain,Fructus Amomi
98,Abdominal Pain,Radix Paeoniae Alba
99,Abdominal Pain,Hemiphragma heterophyllum
100,Abdominal Pain,Cocculus trilobus [Syn. Cocculus sarmentosus]
101,Abdominal Pain,Alhagi pseudalhagi
102,Abdominal Pain,Thlaspi arvense
103,Abdominal Pain,Lactuca indica
104,Abdominal Pain,Rhizoma Curcumae longae
105,Abdominal Pain,Litsea cubeba
106,Abdominal Pain,Corydalis ambigua var. amurensis [Syn. Corydalis ambigua]
107,Abdominal Pain,Millettia pachycarpa
108,Abdominal Pain,Foeniculum vulgare
109,Abdominal Pain,Radix Aconiti Kusnezoffii
110,Abdominal Pain,Caesalpinia crista
111,Abdominal Pain,herba centellae
112,Abdominal Pain,Strobilanthes japonicus [Syn. Championella japonica]
113,Abdominal Pain,Isodon sculponeata [Syn. Rabdosia sculponeata]
114,Abdominal Pain,Camellia oleifera
115,Abdominal Pain,Folium Aconiti Kusnezoffii
116,Abdominal Pain,Semen Pharbitidis
117,Abdominal Pain,Orthosiphon wulfenioides [Syn. Coleus wulfenioides]
118,Abdominal Pain,Rhamnus frangula [Syn. Frangula alnus]
119,Abdominal Pain,Dioscorea panthaica
120,Abdominal Pain,Kadsura coccinea
121,Abdominal Pain,Cinnamomum japonicum
122,Abdominal Pain,Ervatamia heyneana
123,Abdominal Pain,Zanthoxylum acanthopodium
124,Abdominal Pain,Torilis japonica
125,Abdominal Pain,Fructus Mume
126,Abdominal Pain,Fructus Meliae Toosendan
127,Abdominal Pain,Herba Lycopi
128,Abdominal Pain,Osbeckia chinensis
129,Abdominal Pain,Bulbus Allii Fistulosi
130,Abdominal Pain,"Bufo bufo gargarizans, Bufo melanostictus"
131,Abdominal Pain,Rabdosia longituba
132,Abdominal Pain,Natrii Sulfas1
133,Abdominal Pain,Pyrus calleryana
134,Abdominal Pain,Wisteria sinensis
135,Abdominal Pain,Malus asiatica
136,Abdominal Pain,Kadsura peltigera [Syn. Kadsura longipedunculata ]
137,Abdominal Pain,Euonymus phellomana
138,Abdominal Pain,Melia azedarach
139,Abdominal Pain,Myrica rubra;Myrica gale
140,Abdominal Pain,Aegle marmelos
141,Abdominal Pain,"Trogopterus xanthipes, Pteromys volans"
142,Abdominal Pain,Salvia bowleyana
143,Abdominal Pain,Rhus verniciflua [Syn. Toxicadendron verniciflum ]
144,Abdominal Pain,Fructus Phyllanthi
145,Abdominal Pain,Zanthoxylum dissitum
146,Abdominal Pain,Natrii Sulfas Exsiccatus
147,Abdominal Pain,Ficus microcarpa
148,Abdominal Pain,Herba Elsholtziae;Haichow Elsholtzia;Mosla chinensis
149,Abdominal Pain,Leontice robustum
150,Abdominal Pain,Achillea alpina [Syn. Achillea sibirica ]
151,Abdominal Pain,Radix Aconiti Kusnezoffii Preparata
152,Abdominal Pain,Dracaena cochinchinensis
153,Abdominal Pain,Panax japonicus var. bipinnatifidus
154,Abdominal Pain,Corydalis suaveolens [Syn. Corydalis sheareri]
155,Abdominal Pain,Euchresta strigillosa
156,Abdominal Pain,Clematis tangutica
157,Abdominal Pain,Corydalis thalictrifolia
158,Abdominal Pain,Eupolyphaga seu steleophaga
159,Abdominal Pain,Osmanthus fragrans
160,Abdominal Pain,Euscaphis japonica
161,Abdominal Pain,Phellodendron amurense;Cortex Phellodendri
162,Abdominal Pain,Rhizoma Fagopyri Cymosi
163,Abdominal Pain,Folium Caryophylli
164,Abdominal Pain,Tulipa gesneriana
165,Abdominal Pain,Eucalyptus tereticornis
166,Abdominal Pain,Cyclea racemosa
167,Abdominal Pain,Jasminum grandiflorum
168,Abdominal Pain,Oryza sativa
169,Abdominal Pain,Asarum forbesii
170,Abdominal Pain,Patrinia villosa
171,Abdominal Pain,Tagetes erecta
172,Abdominal Pain,Cocculus laurifolius
173,Abdominal Pain,Geum japonicum
174,Abdominal Pain,Mollugo pentaphylla
175,Abdominal Pain,Pyrus pashia
176,Abdominal Pain,Fructus Piperis
177,Abdominal Pain,Matteuccia struthiopteris
178,Abdominal Pain,Folium Sene
179,Abdominal Pain,Acorus calamus
180,Abdominal Pain,Vitex negundo
181,Abdominal Pain,Corydalis remota [Syn. Corydalis bulbosa var. typica ]
182,Abdominal Pain,Radix et Rhizoma Rhei
183,Abdominal Pain,Clerodendron fortunatum
184,Abdominal Pain,Hypericum bellum
185,Abdominal Pain,Lagopsis supina
186,Abdominal Pain,Papaver commutatum [Syn. Papaver rhoeas ]
187,Abdominal Pain,Heracleum rapula
188,Abdominal Pain,Rubus parviforlius
189,Abdominal Pain,Salvia yunnanensis
190,Abdominal Pain,Rhizoma Aconiti Lateralis
191,Abdominal Pain,Scutellaria discolor
192,Abdominal Pain,Conioselinum vaginatum
193,Abdominal Pain,Fructus Carpesii
194,Abdominal Pain,Swertia patens
195,Abdominal Pain,Lycopus lucidus
196,Abdominal Pain,Cymbopogon goeringii
197,Abdominal Pain,Indigo turalis
198,Abdominal Pain,Casuarina equisetifolia
199,Abdominal Pain,Zanthoxylum ailanthoides
200,Abdominal Pain,Corchorus capsularis
201,Abdominal Pain,Ervatamia officinalis
202,Abdominal Pain,Melaleuca leucadendra
203,Abdominal Pain,Alpinia chinensis
204,Abdominal Pain,Cinnamomum parthenoxylum [Syn. Cinnamomum porrectum ]
205,Abdominal Pain,Glycosmis citrifolia
206,Abdominal Pain,Millettia dielsiana
207,Abdominal Pain,Cymbopogon distans
208,Abdominal Pain,Myrica rubra
209,Abdominal Pain,Papaver somniferum
210,Abdominal Pain,Senecio nudicaulis
211,Abdominal Pain,Thalictrum omeiense
212,Abdominal Pain,Rhizoma Cyperi
213,Abdominal Pain,Folium Pogostemonis
214,Abdominal Pain,Polygonum hydropiper
215,Abdominal Pain,Rhizoma Sparganii
216,Abdominal Pain,pollen typhae
217,Abdominal Pain,Hedychium spicatum
218,Abdominal Pain,Radix Salviae liguliobae
219,Abdominal Pain,Arachniodes simplicior
220,Abdominal Pain,Ramulus Euonymi
221,Abdominal Pain,Aristolochia moupinensis
222,Abdominal Pain,Rhizoma Corydalis
223,Abdominal Pain,Oleum Pogostemonis
224,Abdominal Pain,Rheum hotaoense
225,Abdominal Pain,Trigonella caerulea
226,Abdominal Pain,Chenopodium album
227,Abdominal Pain,Radix Achyranthis bidentatae
228,Abdominal Pain,Clausena lansium
229,Abdominal Pain,Pericarpium Grati
230,Abdominal Pain,Artemisia lactiflora
231,Abdominal Pain,Brassica campestris [Syn. Brassica campestris var. oleifera ]
232,Abdominal Pain,Saussurea involucrata
233,Abdominal Pain,Herba Potentillae Chinensis
234,Abdominal Pain,Alpinia blepharocalyx
235,Abdominal Pain,Liquidambar formosana [Syn. Liquidambar taiwaniana]
236,Abdominal Pain,Boehmeria siamensis
237,Abdominal Pain,Cinnamomum bejolghota
238,Abdominal Pain,Cyclea barbata
239,Abdominal Pain,Herba Lycopi;Eupatorium compositifolium
240,Abdominal Pain,Pericarpium Zanthoxyli
241,Abdominal Pain,Dioscorea cirrhosa [Syn. Dioscorea pogonoides]
242,Abdominal Pain,Hibiscus mutabilis
243,Abdominal Pain,Sarcandra glabra [Syn. Chloranthus glaber]
244,Abdominal Pain,Citrus limon
245,Abdominal Pain,Crataegus cuneata
246,Abdominal Pain,Piper mullesua
247,Abdominal Pain,Tripterygium hypoglaucum
248,Abdominal Pain,Aristolochia kaempferi
249,Abdominal Pain,Saussurea involucrata; Saussurea tridactyla var. maidugonla
250,Abdominal Pain,Eucalyptus robusta
251,Abdominal Pain,Gynura segetum [Syn. Gynura japonica ]
252,Abdominal Pain,Perilla frutescens var. arguta
253,Abdominal Pain,Camellia sinensis var. assamica
254,Abdominal Pain,Kadsura heteroclita [Syn. Uvaria heteroclita]
255,Abdominal Pain,Radix Saposhnikoviae divaricatae
256,Abdominal Pain,Crotalaria tetragona
257,Abdominal Pain,Angelica acutiloba [Syn. Ligusticum acutilobum]
258,Abdominal Pain,Crataegus pinnatifida
259,Abdominal Pain,Semen Litchi
260,Abdominal Pain,Resina Toxicodendri
261,Abdominal Pain,Prunus persica
262,Abdominal Pain,Allium ascalonicum
263,Abdominal Pain,Coniogramme japonica [Syn. Hemionitis japonica]
264,Abdominal Pain,Euonymus sacrosancta
265,Abdominal Pain,Psidium guajava
266,Abdominal Pain,Herba Selaginellae
267,Abdominal Pain,Cuminum cyminum
268,Abdominal Pain,Caulis Sargentodoxae
269,Abdominal Pain,
270,Abdominal Pain,Schefflera arboricola
271,Abdominal Pain,Rumex obtusifolius
272,Abdominal Pain,Origanum vulgare
273,Abdominal Pain,Clausena excavata
274,Abdominal Pain,Hippophae rhamnoides
275,Abdominal Pain,Crocus sativus
276,Abdominal Pain,Herba Artemisiae Anomalae
277,Anxiety,Flos Albiziae
278,Anxiety,Crocus sativus
279,Cardiovascular Diseases,Herba Visci
280,Cardiovascular Diseases,Hernandia sonora [Syn. Hernandia ovigera ]
281,Colitis,Rhizoma Menispermi
282,Colitis,Harpagophytum procumbens
283,Vomiting,Rudbeckia laciniata
284,Vomiting,Fructus Amomi
285,Vomiting,Cornu Cervi Degelatinatum
286,Vomiting,Saccharum sinensis
287,Vomiting,Cassia mimosoides
288,Vomiting,Diospyros ebenum
289,Vomiting,Garcinia multiflora
290,Vomiting,Capsicum annuum
291,Vomiting,Haematitum
292,Vomiting,Exocarpium Citri Rubrum
293,Vomiting,Litsea cubeba
294,Vomiting,Foeniculum vulgare
295,Vomiting,Alpinia speciosa
296,Vomiting,Agastache rugosus
297,Vomiting,Eriobotrya japonica
298,Vomiting,Fructus Anisi Stellati
299,Vomiting,Tadehagi triquetrum
300,Vomiting,Saussurea graminea
301,Vomiting,Hypodematium sinense
302,Vomiting,Mangifera indica
303,Vomiting,Mosla chinensis [Syn. Orthodon chinensis ]
304,Vomiting,Dioscorea panthaica
305,Vomiting,Rhizoma Zingiberis
306,Vomiting,Folium Eriobotryae
307,Vomiting,Changium smyrnioides
308,Vomiting,Kummerowia striata
309,Vomiting,Cinnamomum japonicum
310,Vomiting,Alpinia oxyphylla
311,Vomiting,Folium Agastachis
312,Vomiting,Pericarpium Citri Reticulatae
313,Vomiting,Ampelopsis brevipedunculata
314,Vomiting,Litsea euosma
315,Vomiting,"Bufo bufo gargarizans, Bufo melanostictus"
316,Vomiting,Alpinia galanga
317,Vomiting,Pyrus calleryana
318,Vomiting,Wisteria sinensis
319,Vomiting,Semen Lablab Album
320,Vomiting,Malus asiatica
321,Vomiting,Poncirus trifoliata
322,Vomiting,Fructus Citri sarcodactylis
323,Vomiting,Myrica rubra;Myrica gale
324,Vomiting,Citrus grandis var. tomentosa
325,Vomiting,Semen Cavaliae
326,Vomiting,Zanthoxylum planispinum
327,Vomiting,Alpinia katsumadai
328,Vomiting,Herba Elsholtziae;Haichow Elsholtzia;Mosla chinensis
329,Vomiting,Fructus Amomi Rotundus
330,Vomiting,Pisum sativum
331,Vomiting,Chalcanthitum
332,Vomiting,Thalictrum squarrosum
333,Vomiting,Evodia meliifolia
334,Vomiting,Semen Myristicae
335,Vomiting,Cinnamomum camphora
336,Vomiting,Dregea volubilis
337,Vomiting,Lignum Santaii Albi
338,Vomiting,Rhizoma Atractylodis
339,Vomiting,Folium Caryophylli
340,Vomiting,Bombyx mori
341,Vomiting,Cedrela sinensis
342,Vomiting,Cocos nucifera
343,Vomiting,Fructus Chaenomelis
344,Vomiting,Inula helenium
345,Vomiting,Elephas maximus
346,Vomiting,Ocimum basilicum
347,Vomiting,Camphora
348,Vomiting,Valeriana jatamansii [Syn. Valeriana wallichii ]
349,Vomiting,Rhizoma Pinelliae
350,Vomiting,Magnolia rostrata
351,Vomiting,Fructus Galangae
352,Vomiting,Vigna unguiculata
353,Vomiting,Fructus Piperis
354,Vomiting,Amomum kravanh [Syn. Amomum cardamomum]
355,Vomiting,Citrus junos
356,Vomiting,Oryza sativa var. glutinosa
357,Vomiting,Flos Dolichoris
358,Vomiting,Carex kobomugi
359,Vomiting,Vitex negundo
360,Vomiting,Cortex Cinmomi
361,Vomiting,Raphanus sativus
362,Vomiting,Atropa belladonna
363,Vomiting,Rhizoma Aconiti Lateralis
364,Vomiting,Scutellaria discolor
365,Vomiting,Castanea mollissima
366,Vomiting,Panax ginseng [Syn. Panax schinseng ]
367,Vomiting,Rhizoma Phragmitis
368,Vomiting,Pistacia chinensis
369,Vomiting,Rhizoma Zingiberis Recens
370,Vomiting,Cortex Magnoliae officilis;Magnolia officinalis
371,Vomiting,Fructus tsaoko
372,Vomiting,Myrica rubra
373,Vomiting,Cymbopogon distans
374,Vomiting,Amomum muricarpum
375,Vomiting,Terra Flava Usta
376,Vomiting,Folium Pogostemonis
377,Vomiting,Polygonum hydropiper
378,Vomiting,Fructus Hordei Germitus
379,Vomiting,Tamarindus indica
380,Vomiting,Pyrus bretschneideri
381,Vomiting,Mentha spicata
382,Vomiting,Cydonia oblonga
383,Vomiting,Rabdosia coetsa
384,Vomiting,Zanthoxylum simulans
385,Vomiting,Oleum Pogostemonis
386,Vomiting,Abrus Precatorius L.
387,Vomiting,Flos Rosae Rugosae
388,Vomiting,Chaenomeles lagenaria [Syn. Chaenomeles speciosa]
389,Vomiting,Eucalyptus citriodora
390,Vomiting,Actinidia arguta
391,Vomiting,Tribulus terrestris
392,Vomiting,Gallus gallus domesticus
393,Vomiting,Trachyspermum ammi
394,Vomiting,Alpinia blepharocalyx
395,Vomiting,Citrus reticulata
396,Vomiting,Pericarpium Zanthoxyli
397,Vomiting,Alstonia scholaris
398,Vomiting,Citrus limon
399,Vomiting,Carbonized Vagina Trachycarpus Wagnerianus
400,Vomiting,Machilus thunbergii
401,Vomiting,Semen Sipis
402,Vomiting,Magnolia grandiflora
403,Vomiting,Notholirion hyacinthinum [Syn. Notholirion bulbuliferum]
404,Vomiting,Perilla frutescens var. arguta
405,Vomiting,Exocarpium Citri grandis
406,Vomiting,Alpinia japonica
407,Vomiting,Setaria italica
408,Vomiting,Rhizoma Coptidis
409,Vomiting,Citrus medica
410,Vomiting,
411,Vomiting,"Capra hircus, Ovis aries"
412,Vomiting,Perilla frutescens
413,Vomiting,Tectona grandis
414,Vomiting,Phoebe nanmu
415,Vomiting,Origanum vulgare
416,Vomiting,Herba Eupatorii
417,Nausea,Rhizoma Pinelliae
418,Nausea,Saccharum sinensis
419,Nausea,Flos Rosae Rugosae
420,Nausea,Citrus junos
421,Nausea,Rhizoma Typhonii
422,Nausea,Exocarpium Citri Rubrum
423,Nausea,Gallus gallus domesticus
424,Nausea,Trachyspermum ammi
425,Nausea,Fructus Amomi Rotundus
426,Nausea,Mosla dianthera
427,Nausea,Atropa belladonna
428,Nausea,Hypodematium sinense
429,Nausea,Changium smyrnioides
430,Nausea,Perilla frutescens var. arguta
431,Nausea,Exocarpium Citri grandis
432,Nausea,Folium Agastachis
433,Nausea,Cedrela sinensis
434,Nausea,Tectona grandis
435,Nausea,Camphora
436,Nausea,Fructus Hordei Germitus
437,Nausea,Herba Eupatorii
438,Cyst,Iris tectorum
439,Cyst,Herba Houttuyniae
440,Cyst,Nauclea officinalis
441,Cyst,Hypecoum erectum
442,Cyst,Ixeris chinensis
443,Cyst,Rabdosia serra
444,Cyst,Debregeasia longifolia
445,Cyst,Przewalskia tangutica
446,Cyst,Diploclisia glaucescens
447,Cyst,Armoracia lapathifolia
448,Cyst,Anisodus luridus
449,Cyst,Clinopodium chinense
450,Cyst,Helichrysum arenarium
451,Cyst,Vitex negundo
452,Cyst,Heteropappus altaicus
453,Cyst,Radix et Rhizoma Rhei
454,Cyst,Solidago virgaurea
455,Cyst,Humulus lupulus
456,Cyst,Derris eriocarpa
457,Cyst,Clerodendranthus spicatus
458,Cyst,Swertia punicea
459,Cyst,Berberis amurensis
460,Cyst,Artemisia capillaris
461,Cyst,Atropa belladonna
462,Cyst,Chrysosplenium nudicaule
463,Cyst,Berberis poiretii
464,Cyst,Sarcandra glabra [Syn. Chloranthus glaber]
465,Cyst,Selaginella sinensis
466,Cyst,Helleborus thibetanus;Helleborus odorus
467,Cyst,Menyanthes trifoliata
468,Cyst,Clerodendron indicum
469,Cyst,Herba Humuli Scandentis;Rhaponticum carthamoides
470,Cyst,Stachytarpheta jamaicensis
471,Cyst,Veronicastrum sibiricum
472,Cyst,Aconitum tanguticum
473,Cyst,Hypecoum leptocarpum
474,Cyst,Conyza canadensis
475,Cyst,Rabdosia stracheyi
476,Cyst,Veratrilla baillonii
477,Cyst,Gentianopsis paludosa
478,Cyst,Radix Bupleuri
479,Cyst,Swertia mussotii
480,Cyst,Berberis wilsonae
481,Cyst,Armillariella tabescens
482,Cyst,Stigma Maydis
483,Osteoporosis,Psoralea corylifolia
484,leukemia,Camptotheca acuminata
485,leukemia,Rhizoma Curcumae
486,leukemia,Radix Asparagi
487,leukemia,Semen Euphorbiae Pulveratum
488,leukemia,Indigo turalis
489,leukemia,Oleum Curcumae
490,Peritonitis,Radix et Rhizoma Rhei
491,Coronary heart disease,Folium Llicis Chinensis
492,Coronary heart disease,Armillaria mellea
493,Coronary heart disease,Ganoderma Lucidum seu Japonicum
494,Coronary heart disease,
495,Coronary heart disease,Lignum Santaii Albi
496,Coronary heart disease,Folium Pini
497,Coronary heart disease,Ginkgo biloba
498,Coronary heart disease,Olea europaea
499,Atherosclerosis,Semen Cassiae;Semen Sene
500,Atherosclerosis,Polygonum multiflorum;Caulis Polygoni Multiflori
501,Atherosclerosis,Equisetum pratense
502,Atherosclerosis,Radix Salviae liguliobae
503,Periodontitis,Fomes officinalis
504,Periodontitis,Garcinia cowa
505,Periodontitis,Betula platyphylla var. japonica
506,Atrial Fibrillation,Adonis amurensis
507,Chronic liver disease,Swertia pseudochinensis
508,Liver diseases,Swertia pseudochinensis
509,Diabetes,Radix Astragali
510,Diabetes,Radix Puerariae
511,Diabetes,Radix Pacis quinquefolii
512,Diabetes,Pachyrrhizus erosus
513,Diabetes,Rehmannia glutinosa [Syn. Rehmannia glutinosa f. huechingensis]
514,Diabetes,Saccharum sinensis
515,Diabetes,Rhizoma Anemarrhee
516,Diabetes,Ophiopogon japonicus
517,Diabetes,Actinidia chinensis
518,Diabetes,Eupatorium rebaudianum
519,Diabetes,Vigna unguiculata
520,Diabetes,Phasianus colchicus
521,Diabetes,Citrus tangemna
522,Diabetes,Oryza sativa var. glutinosa
523,Diabetes,Dioscorea alata
524,Diabetes,Persea americana [Syn. Persea gratissima ]
525,Diabetes,Gallus gallus domesticus
526,Diabetes,Spiranthes sinensis
527,Diabetes,Fructus Lycii
528,Diabetes,Dioscorea deltoidea
529,Diabetes,flos puerariae lobatae
530,Diabetes,Pisum sativum
531,Diabetes,Oplopanax elatus
532,Diabetes,Radix Trichosanthis
533,Diabetes,Radix Ginseng
534,Diabetes,Raphanus sativus
535,Diabetes,Apis cerana
536,Diabetes,Taxus cuspidata
537,Diabetes,Cicer arietinum
538,Diabetes,Aralia chinensis
539,Diabetes,Mangifera indica
540,Diabetes,Morus alba
541,Diabetes,Asparagus cochinchinensis [Syn. Asparagus lucidus ]
542,Diabetes,Marsilea quadrifolia
543,Diabetes,Lycium chinense
544,Diabetes,Radix Codonopsis pilosulae
545,Diabetes,Panax ginseng [Syn. Panax schinseng ]
546,Diabetes,Stizolobium capitatum
547,Diabetes,Rhizoma Polygoti Odorati
548,Diabetes,Prunus salicina
549,Diabetes,Fructus Corni
550,Diabetes,Radix Rehmanniae Preparata
551,Diabetes,Aralia elata
552,Diabetes,Triticum aestivum [Syn. Triticum vulgare ]
553,Diabetes,Setaria italica
554,Diabetes,Bombyx mori
555,Diabetes,Spinacia oleracea
556,Diabetes,Diospyros lotus
557,Diabetes,Momordica charantia
558,Diabetes,"Bos taurus domesticus, Bubalus bubalis"
559,Diabetes,Trichosanthes cucumeroides
560,Diabetes,Oryza sativa
561,Diabetes,Malus asiatica
562,Diabetes,
563,Diabetes,Lagenaria siceraria var. depressa
564,Diabetes,Trapa bispinosa
565,Diabetes,Rhizoma Polygoti
566,Diabetes,Rhizoma Dioscoreae
567,Diabetes,Folium Ginseng
568,Diabetes,Ilex paraguariensis
569,Diabetes,Stigma Maydis
570,Malnutrition,Spatholobus suberectus
571,Malnutrition,Fructus Carpesii
572,Anemia,Melodinus hemsleyanus
573,Anemia,Prismatomeris tetrandra
574,Anemia,Octopus vulgaris
575,Anemia,Rehmannia glutinosa [Syn. Rehmannia glutinosa f. huechingensis]
576,Anemia,Semen Strychni
577,Anemia,Radix Polygoni Multiflori Preparata
578,Anemia,Arillus Longan
579,Anemia,Radix Paeoniae Alba
580,Anemia,Lespedeza tomentosa
581,Anemia,Caulis Millettiae; Caulis spatholobi
582,Anemia,Radix Angelicae sinensis
583,Anemia,Polygonum multiflorum
584,Anemia,Mucuna sempervirens
585,Anemia,Ventilago leiocarpa
586,Anemia,Changium smyrnioides
587,Anemia,Semen Strychni;Strychnos dolichothyrsa;Semen Cumini Cymni;Strychnos mittschelichii
588,Anemia,Panax ginseng [Syn. Panax schinseng ]
589,Anemia,"Bos taurus domesticus, Bubalus bubalis"
590,Anemia,Rubia yunnanensis
591,Anemia,Harungana madagascariensis
592,Anemia,Spatholobus suberectus
593,Anemia,Polygonum multiflorum;Caulis Polygoni Multiflori
594,Nasopharyngeal carcinoma,Ganoderma applanatum
595,Nasopharyngeal carcinoma,Iphigenia indica
596,Inflammation,Crotalaria mucronata
597,Inflammation,Anisodus tanguticus [Syn. Scopolia tangutica ]
598,Inflammation,Fructus Leonuri
599,Inflammation,Calamina
600,Inflammation,Flos Chrysanthemi
601,Inflammation,Semen Crotonis Pulveratum
602,Inflammation,Herba Aristolochiae;Fibraurea recisa Pierre
603,Inflammation,Poria; Sclerotium Poriae Cocos; Sclerotium Poriae Cocos
604,Inflammation,Agave americana
605,Inflammation,Poria
606,Inflammation,Folium Polygoni Tinctorii
607,Inflammation,Periostracum Cicadae
608,Inflammation,Periostracum Serpentis
609,Asthma,Rhododendron capitatum
610,Asthma,Concha Cyclinae
611,Asthma,Sabia schumanniana
612,Asthma,Lycianthes biflora
613,Asthma,Gleditsia sinensis [Syn. Gleditsia horrida]
614,Asthma,Peganum harmala
615,Asthma,Nerium indicum
616,Asthma,Rhizoma Anemarrhee
617,Asthma,Rhododendron molle
618,Asthma,Rhizoma Paridis
619,Asthma,Papaver nudicaule var. chinense
620,Asthma,Cassia occidentalis
621,Asthma,Psoralea corylifolia
622,Asthma,Lepidium sativum
623,Asthma,Flemingia strobilifera
624,Asthma,Litsea cubeba
625,Asthma,Ligularia fischeri
626,Asthma,Berneuxia thibetica
627,Asthma,Flos Gomphree
628,Asthma,Sida cordifolia
629,Asthma,Drosera rotundifolia
630,Asthma,Eriobotrya japonica
631,Asthma,Leucas aspera
632,Asthma,Wikstroemia chamaedaphne
633,Asthma,Winchia calophylla
634,Asthma,Luffa cylindrica
635,Asthma,Syringa amurensis [Syn. Syringa reticulata var. amurensis ]
636,Asthma,Apis cerana
637,Asthma,Rhododendron przewalskii
638,Asthma,Semen Pharbitidis
639,Asthma,Piper betle
640,Asthma,Harpagophytum procumbens
641,Asthma,radix asteris
642,Asthma,Syngnathus acus
643,Asthma,Eruca sativa
644,Asthma,Scutellaria indica
645,Asthma,Rhizoma Zingiberis
646,Asthma,Folium Eriobotryae
647,Asthma,Aconitum barbatum var. puberulum [Syn. Aconitum ochranthum]
648,Asthma,Radix Stemoe
649,Asthma,flos farfarae
650,Asthma,Euphorbia ebracteolata
651,Asthma,Spilanthes acmella
652,Asthma,Herba Potentillae Discoloris
653,Asthma,Osbeckia chinensis
654,Asthma,Epimedium brevicornum
655,Asthma,"Bufo bufo gargarizans, Bufo melanostictus"
656,Asthma,Fructus Crotonis;Croton macrostachys
657,Asthma,Fluoritum
658,Asthma,Trifolium pratense
