measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Ethiopia,Both,All ages,Diabetes mellitus,Number,2020,14169.054570868271,16281.515892791564,12160.068294976485
Deaths,Congo,Both,All ages,Acute hepatitis,Number,2018,39.17182860586509,72.19405805906432,16.013869896447723
Deaths,China,Both,All ages,Tuberculosis,Number,2019,38908.65214450717,48964.11367011389,31326.613281015478
Deaths,China,Both,All ages,Stroke,Number,2019,2456567.0505020623,2848214.5938134,2110506.5458140126
Deaths,Viet Nam,Both,All ages,Stroke,Number,2019,161996.15510268143,185129.50905420253,135583.96540936863
Deaths,Japan,Both,All ages,Diabetes mellitus,Number,2020,9771.805348098838,10769.982493632815,7981.783329007523
Deaths,Bangladesh,Both,All ages,Stroke,Number,2017,157800.59248480658,187087.3155073273,132875.80581135998
Deaths,Bangladesh,Both,All ages,Rheumatoid arthritis,Number,2017,635.8791031030354,999.0532985076625,417.8130923351357
Deaths,Nigeria,Both,All ages,Tuberculosis,Number,2019,50822.67597581375,64464.59678482998,37515.67824719517
Deaths,Congo,Both,All ages,Diabetes mellitus,Number,2018,1331.9727594254005,1662.6307769623334,1035.2273995343971
Deaths,India,Both,All ages,Acute hepatitis,Number,2021,27993.26448852925,40166.50216409239,20210.17621482269
Deaths,India,Both,All ages,Diabetes mellitus,Number,2021,331308.49303661933,370529.43121960363,292022.581267774
Deaths,Viet Nam,Both,All ages,Acute hepatitis,Number,2020,352.73750687216506,474.3104337524223,259.11060564296986
Deaths,Viet Nam,Both,All ages,COVID-19,Number,2019,0.0,0.0,0.0
Deaths,Viet Nam,Both,All ages,COVID-19,Number,2018,0.0,0.0,0.0
Deaths,India,Both,All ages,Stroke,Number,2020,771398.4055653414,847942.6165944397,702059.8757232319
Deaths,China,Both,All ages,Acute hepatitis,Number,2020,3151.5595970589316,3891.40302458467,2491.4716806751094
Deaths,Viet Nam,Both,All ages,Diabetes mellitus,Number,2020,30482.321880679927,36592.78628571512,24759.01364230722
Deaths,Bangladesh,Both,All ages,Measles,Number,2021,52.33233851548607,159.7735201275135,7.734809645402171
Deaths,Bangladesh,Both,All ages,Malaria,Number,2021,603.331741172993,1210.7821516581337,146.9659344214066
Deaths,Nigeria,Both,All ages,Measles,Number,2019,6764.558806706311,15979.00786381357,2104.0168774772133
Deaths,China,Both,All ages,Diabetes mellitus,Number,2020,173394.56354836322,202833.21868124322,148514.3903657427
Deaths,Nigeria,Both,All ages,Rheumatoid arthritis,Number,2017,2.656363979090043,4.787722954042306,1.4776682778837529
Deaths,Pakistan,Both,All ages,Acute hepatitis,Number,2020,7077.573358260665,9876.201565273477,4908.267122237295
Deaths,Pakistan,Both,All ages,Diabetes mellitus,Number,2020,46423.86082748063,57165.55030503096,36929.835075277755
Deaths,India,Both,All ages,Measles,Number,2017,20016.183336975755,43537.76807800556,6754.554208296866
Deaths,India,Both,All ages,Malaria,Number,2017,23246.11400046218,41026.98717461638,11761.932148402806
Deaths,Congo,Both,All ages,Acute hepatitis,Number,2020,37.85185069482508,67.22793128872738,16.02913717089264
