,Country,NumericValue,Low,High,Year
126,BGD,12397.0,11000.0,14000.0,2018
127,BLZ,3.0,,,2018
128,BOL,7239.0,5700.0,8900.0,2018
129,BRA,218813.0,196000.0,237000.0,2018
130,BTN,6.0,,,2018
131,BWA,808.0,620.0,1100.0,2018
132,CAF,1654108.0,868000.0,2868000.0,2018
133,CHN,0.0,,,2018
134,CIV,6730934.0,3853000.0,10910000.0,2018
135,CMR,6218960.0,4711000.0,8007000.0,2018
136,COD,27944491.0,21480000.0,35280000.0,2018
137,COG,1321959.0,801000.0,2068000.0,2018
138,COL,93827.0,69000.0,121000.0,2018
139,COM,15186.0,,,2018
140,CPV,2.0,,,2018
141,CRI,70.0,,,2018
142,DJI,24845.0,,,2018
143,DOM,534.0,450.0,620.0,2018
144,DZA,0.0,,,2018
145,ECU,1653.0,,,2018
146,EMR,5634545.0,4200000.0,7800000.0,2018
147,ERI,99716.0,64000.0,139000.0,2018
148,ETH,2793314.0,1541000.0,4176000.0,2018
149,EUR,0.0,,,2018
150,GAB,499577.0,248000.0,913000.0,2018
151,GEO,0.0,,,2018
152,GHA,5314525.0,3976000.0,7054000.0,2018
153,GIN,4508348.0,3126000.0,6301000.0,2018
154,GLOBAL,231237356.0,214000000.0,252000000.0,2018
155,GMB,196160.0,143000.0,253000.0,2018
156,GNB,125653.0,42000.0,301000.0,2018
157,GNQ,360556.0,200000.0,600000.0,2018
158,GTM,3541.0,3200.0,4100.0,2018
159,GUF,640.0,570.0,740.0,2018
160,GUY,30769.0,23000.0,42000.0,2018
161,HND,933.0,710.0,1200.0,2018
162,HTI,16000.0,11000.0,22000.0,2018
163,IDN,662497.0,606000.0,728000.0,2018
164,IND,6743582.0,4642000.0,9436000.0,2018
165,IRN,0.0,,,2018
166,IRQ,0.0,,,2018
167,KAZ,0.0,0.0,0.0,2018
168,KEN,3068062.0,2148000.0,4260000.0,2018
169,KGZ,0.0,,,2018
170,KHM,272272.0,235000.0,319000.0,2018
171,KOR,501.0,,,2018
172,LAO,15654.0,11000.0,21000.0,2018
173,LBR,1966210.0,1496000.0,2550000.0,2018
174,LKA,0.0,,,2018
175,MAR,0.0,,,2018
176,MDG,1921403.0,1356000.0,2541000.0,2018
177,MEX,803.0,,,2018
178,MLI,7710138.0,5441000.0,10950000.0,2018
179,MMR,108681.0,88000.0,131000.0,2018
180,MOZ,9406462.0,7453000.0,11690000.0,2018
181,MRT,236485.0,98000.0,436000.0,2018
182,MWI,3859499.0,2893000.0,5054000.0,2018
183,MYS,0.0,,,2018
184,MYT,6.0,4.0,13.0,2018
185,NAM,50217.0,40000.0,61000.0,2018
186,NER,7760340.0,4896000.0,11740000.0,2018
187,NGA,59652248.0,46930000.0,75230000.0,2018
188,NIC,20158.0,17000.0,24000.0,2018
189,NPL,2736.0,2000.0,3900.0,2018
190,OMN,0.0,,,2018
191,PAK,705529.0,548000.0,983000.0,2018
192,PAN,789.0,710.0,850.0,2018
193,PER,58455.0,48000.0,70000.0,2018
194,PHL,10900.0,7700.0,15000.0,2018
195,PNG,1301773.0,839000.0,1845000.0,2018
196,PRK,3698.0,,,2018
197,PRY,0.0,,,2018
