measure,location,sex,age,cause,metric,year,val,upper,lower
YLLs (Years of Life Lost),Global,Both,All ages,Diabetes mellitus type 1,Number,2021,2234248.3314828286,2470127.961411558,1980546.6562157965
YLLs (Years of Life Lost),Global,Both,All ages,Diabetes mellitus type 2,Number,2021,35540861.20511446,37650455.33635709,33217121.76881648
YLLs (Years of Life Lost),Global,Both,All ages,Rheumatoid arthritis,Number,2019,702983.8940647619,814505.5574397662,595263.3314623504
YLLs (Years of Life Lost),Global,Both,All ages,Tuberculosis,Number,2020,43512500.46209457,48667599.76768575,39185446.41553402
YLLs (Years of Life Lost),Global,Both,All ages,Malaria,Number,2018,48070734.33210665,92172438.4098523,19042077.535134654
YLLs (Years of Life Lost),Global,Both,All ages,Asthma,Number,2021,11230094.8664229,14180562.779184936,9405818.043155802
YLLs (Years of Life Lost),Global,Both,All ages,Rheumatoid arthritis,Number,2017,680305.9354013728,795345.13336706,579064.7613967864
YLLs (Years of Life Lost),Global,Both,All ages,Acute hepatitis,Number,2017,4941670.005042163,6258720.251952101,4028874.9841885846
YLLs (Years of Life Lost),Global,Both,All ages,Acute hepatitis A,Number,2017,2459954.0061549027,3598996.042971293,1738750.035065331
YLLs (Years of Life Lost),Global,Both,All ages,Acute hepatitis B,Number,2017,1972925.4909527623,2406103.446404539,1516807.9756631393
YLLs (Years of Life Lost),Global,Both,All ages,Acute hepatitis C,Number,2017,288796.50623185246,506148.9779534294,110025.84205332135
YLLs (Years of Life Lost),Global,Both,All ages,Acute hepatitis E,Number,2017,219994.00170264128,386466.530020445,109584.14742015096
YLLs (Years of Life Lost),Global,Both,All ages,Alzheimer's disease and other dementias,Number,2018,22417060.270860344,57664194.40800016,5542612.817598242
YLLs (Years of Life Lost),Global,Both,All ages,Measles,Number,2019,8199112.463911656,17156495.355942484,3098391.6243950804
YLLs (Years of Life Lost),Global,Both,All ages,Stroke,Number,2019,141799142.29921684,151159287.19786984,131237523.89582199
YLLs (Years of Life Lost),Global,Both,All ages,COVID-19,Number,2021,197756735.80839297,211514620.57015818,187900904.12132755
YLLs (Years of Life Lost),Global,Both,All ages,Diabetes mellitus,Number,2017,33867301.91706761,35321608.45081163,32360682.203811474
YLLs (Years of Life Lost),Global,Both,All ages,Diabetes mellitus type 1,Number,2019,2255941.4171651313,2485603.6385547537,1997963.083776998
YLLs (Years of Life Lost),Global,Both,All ages,Diabetes mellitus type 2,Number,2019,34035130.722051494,35720617.174014695,32135181.655122835
YLLs (Years of Life Lost),Global,Both,All ages,Malaria,Number,2021,52809221.71105702,105829146.70028393,19553713.43737263
YLLs (Years of Life Lost),Global,Both,All ages,Asthma,Number,2019,11392593.46511229,14659149.9757875,9533712.004168369
YLLs (Years of Life Lost),Global,Both,All ages,Measles,Number,2017,9426435.52694668,20029836.124525663,3291990.417934591
YLLs (Years of Life Lost),Global,Both,All ages,Stroke,Number,2017,137939564.695847,147079448.64355084,128809075.90478274
YLLs (Years of Life Lost),Global,Both,All ages,COVID-19,Number,2019,0.0,0.0,0.0
YLLs (Years of Life Lost),Global,Both,All ages,Measles,Number,2020,6021848.408408712,9718203.590949114,3333738.621548792
YLLs (Years of Life Lost),Global,Both,All ages,Stroke,Number,2020,143416512.50989813,154026933.84356803,131793428.35200551
YLLs (Years of Life Lost),Global,Both,All ages,Diabetes mellitus type 1,Number,2017,2260469.8644496957,2474753.2524755187,2021676.3137153396
YLLs (Years of Life Lost),Global,Both,All ages,Diabetes mellitus type 2,Number,2017,31606832.052617896,32987708.5985716,30128457.008315504
YLLs (Years of Life Lost),Global,Both,All ages,Alzheimer's disease and other dementias,Number,2021,24750578.726541385,63537377.88029002,6224336.237553345
YLLs (Years of Life Lost),Global,Both,All ages,Malaria,Number,2019,47455529.237307355,90120856.51791736,19299052.762080938
YLLs (Years of Life Lost),Global,Both,All ages,Asthma,Number,2017,11332204.892801896,14507508.360844363,9486575.045231352
YLLs (Years of Life Lost),Global,Both,All ages,Acute hepatitis,Number,2020,4040530.7060019216,5340431.962384647,3155632.4600133104
YLLs (Years of Life Lost),Global,Both,All ages,Acute hepatitis A,Number,2020,1736579.8732541758,2768601.9226436843,1158641.8195814628
YLLs (Years of Life Lost),Global,Both,All ages,Acute hepatitis B,Number,2020,1836442.2686971922,2274307.323213812,1354498.2194495539
YLLs (Years of Life Lost),Global,Both,All ages,Acute hepatitis C,Number,2020,262595.50803581724,454412.92574627633,106828.18945468646
YLLs (Years of Life Lost),Global,Both,All ages,Acute hepatitis E,Number,2020,204913.0560147323,357615.0909016437,98908.76349596387
YLLs (Years of Life Lost),Global,Both,All ages,COVID-19,Number,2017,0.0,0.0,0.0
YLLs (Years of Life Lost),Global,Both,All ages,Asthma,Number,2020,11272310.138848469,14570341.514149016,9407410.875720521
YLLs (Years of Life Lost),Global,Both,All ages,Malaria,Number,2017,48462921.399124876,92862970.84542674,19319605.97775065
YLLs (Years of Life Lost),Global,Both,All ages,Rheumatoid arthritis,Number,2020,708032.001688108,810931.7123543811,597689.8344365677
YLLs (Years of Life Lost),Global,Both,All ages,Alzheimer's disease and other dementias,Number,2019,23186011.45388488,60148070.8109986,5851775.738785013
YLLs (Years of Life Lost),Global,Both,All ages,Diabetes mellitus,Number,2020,37044802.374655806,39204487.777840786,34953127.79932164
YLLs (Years of Life Lost),Global,Both,All ages,COVID-19,Number,2020,118399861.74860346,126338775.03123067,112328993.53563085
YLLs (Years of Life Lost),Global,Both,All ages,Malaria,Number,2020,52991184.22663293,107226503.68440476,18571970.928463064
YLLs (Years of Life Lost),Global,Both,All ages,Alzheimer's disease and other dementias,Number,2017,21660407.75023323,56219786.40607384,5508761.791317781
YLLs (Years of Life Lost),Global,Both,All ages,Diabetes mellitus type 1,Number,2020,2235655.145948025,2474662.93243723,1967558.344170958
YLLs (Years of Life Lost),Global,Both,All ages,Diabetes mellitus type 2,Number,2020,34809147.22870775,36820032.49193069,32748409.37260614
YLLs (Years of Life Lost),Global,Both,All ages,Alzheimer's disease and other dementias,Number,2020,23866422.105017252,62166902.68771538,5950877.557557597
